************************************************************************************
*    Row   *         i *    runnum *        fi *      fill * R2_vpdrsc * R2_zdcrsc *
************************************************************************************
*        0 *         1 *  16066033 *         1 *     18753 * 0.9934247 * 0.9944277 *
*        1 *         2 *  16066035 *         1 *     18753 * 0.9935150 * 0.9935364 *
*        2 *         3 *  16066046 *         2 *     18754 * 0.9969459 * 0.9951267 *
*        3 *         4 *  16066047 *         2 *     18754 * 0.9968178 * 0.9945613 *
*        4 *         5 *  16066049 *         2 *     18754 * 0.9972463 * 0.9957556 *
*        5 *         6 *  16066050 *         2 *     18754 * 0.9975343 * 0.9976472 *
*        6 *         7 *  16066051 *         2 *     18754 * 0.9977895 * 0.9987766 *
*        7 *         8 *  16066052 *         2 *     18754 * 0.9979280 * 0.9987295 *
*        8 *         9 *  16066053 *         2 *     18754 * 0.9981038 * 0.9964902 *
*        9 *        10 *  16066054 *         2 *     18754 * 0.9982921 * 0.9975976 *
*       10 *        11 *  16066055 *         2 *     18754 * 0.9983686 * 0.9982023 *
*       11 *        12 *  16066059 *         2 *     18754 * 0.9984179 * 0.9974426 *
*       12 *        13 *  16066060 *         2 *     18754 * 0.9984423 * 0.9983335 *
*       13 *        14 *  16067001 *         2 *     18754 *  0.998604 * 0.9992651 *
*       14 *        15 *  16067003 *         2 *     18754 * 0.9986311 * 0.9977099 *
*       15 *        16 *  16067004 *         2 *     18754 * 0.9986326 * 0.9973863 *
*       16 *        17 *  16067005 *         2 *     18754 * 0.9986807 * 0.9981008 *
*       17 *        18 *  16067006 *         2 *     18754 * 0.9988130 * 0.9971410 *
*       18 *        19 *  16067013 *         3 *     18758 * 0.9992346 * 0.9980102 *
*       19 *        20 *  16067014 *         3 *     18758 * 0.9989978 * 0.9986218 *
*       20 *        21 *  16067015 *         3 *     18758 * 0.9990062 * 0.9976570 *
*       21 *        22 *  16067016 *         3 *     18758 * 0.9990214 * 0.9970796 *
*       22 *        23 *  16067017 *         3 *     18758 * 0.9988675 * 0.9966685 *
*       23 *        24 *  16067019 *         3 *     18758 * 0.9987779 * 0.9963765 *
*       24 *        25 *  16067020 *         3 *     18758 * 0.9987666 * 0.9977251 *
*       25 *        26 *  16067021 *         3 *     18758 * 0.9987366 * 0.9971804 *
*       26 *        27 *  16067022 *         3 *     18758 * 0.9986908 * 0.9990252 *
*       27 *        28 *  16068022 *         4 *     18761 * 0.9621152 * 0.9608693 *
*       28 *        29 *  16068023 *         4 *     18761 * 0.9618467 * 0.9615373 *
*       29 *        30 *  16068024 *         4 *     18761 * 0.9619600 * 0.9610505 *
*       30 *        31 *  16068025 *         4 *     18761 * 0.9620285 * 0.9611781 *
*       31 *        32 *  16068028 *         4 *     18761 * 0.9620798 * 0.9609987 *
*       32 *        33 *  16068029 *         4 *     18761 * 0.9616339 * 0.9608904 *
*       33 *        34 *  16068030 *         4 *     18761 * 0.9616684 * 0.9609954 *
*       34 *        35 *  16068032 *         4 *     18761 * 0.9616273 * 0.9604572 *
*       35 *        36 *  16068034 *         4 *     18761 * 0.9614953 * 0.9603521 *
*       36 *        37 *  16068035 *         4 *     18761 * 0.9614123 * 0.9605970 *
*       37 *        38 *  16068036 *         4 *     18761 * 0.9613413 * 0.9600021 *
*       38 *        39 *  16068037 *         4 *     18761 * 0.9612489 * 0.9601750 *
*       39 *        40 *  16068038 *         4 *     18761 * 0.9611114 * 0.9602907 *
*       40 *        41 *  16068039 *         4 *     18761 * 0.9610965 * 0.9599390 *
*       41 *        42 *  16068040 *         4 *     18761 * 0.9610891 * 0.9603269 *
*       42 *        43 *  16068042 *         4 *     18761 * 0.9609500 * 0.9606381 *
*       43 *        44 *  16068055 *         5 *     18763 * 0.9693832 * 0.9682784 *
*       44 *        45 *  16068056 *         5 *     18763 * 0.9686076 * 0.9678756 *
*       45 *        46 *  16068057 *         5 *     18763 * 0.9683766 * 0.9674250 *
*       46 *        47 *  16068058 *         5 *     18763 * 0.9680150 * 0.9671034 *
*       47 *        48 *  16069001 *         5 *     18763 * 0.9677065 * 0.9670461 *
*       48 *        49 *  16069002 *         5 *     18763 * 0.9673771 * 0.9663831 *
*       49 *        50 *  16069003 *         5 *     18763 * 0.9671413 * 0.9664595 *
*       50 *        51 *  16069004 *         5 *     18763 * 0.9675589 * 0.9656797 *
*       51 *        52 *  16069005 *         5 *     18763 * 0.9642459 * 0.9628043 *
*       52 *        53 *  16069006 *         5 *     18763 * 0.9641689 * 0.9632348 *
*       53 *        54 *  16069007 *         5 *     18763 * 0.9643043 * 0.9631272 *
*       54 *        55 *  16069008 *         5 *     18763 * 0.9642214 * 0.9632698 *
*       55 *        56 *  16069009 *         5 *     18763 * 0.9640162 * 0.9625987 *
*       56 *        57 *  16069010 *         5 *     18763 * 0.9640517 * 0.9630926 *
*       57 *        58 *  16069011 *         5 *     18763 * 0.9637883 * 0.9626549 *
*       58 *        59 *  16069012 *         5 *     18763 * 0.9637152 * 0.9625679 *
*       59 *        60 *  16069013 *         5 *     18763 * 0.9646848 * 0.9627752 *
*       60 *        61 *  16069016 *         5 *     18763 * 0.9634765 * 0.9627546 *
*       61 *        62 *  16069024 *         6 *     18764 * 1.0146287 * 1.0135809 *
*       62 *        63 *  16069025 *         6 *     18764 * 1.0155551 * 1.0153874 *
*       63 *        64 *  16069026 *         6 *     18764 * 1.0163859 * 1.0156152 *
*       64 *        65 *  16069027 *         6 *     18764 * 1.0167931 * 1.0161321 *
*       65 *        66 *  16069028 *         6 *     18764 * 1.0170233 * 1.0162627 *
*       66 *        67 *  16069029 *         6 *     18764 * 1.0169469 * 1.0163812 *
*       67 *        68 *  16069030 *         6 *     18764 * 1.0166406 * 1.0160030 *
*       68 *        69 *  16069031 *         6 *     18764 * 1.0164172 * 1.0153914 *
*       69 *        70 *  16069032 *         6 *     18764 * 1.0163223 * 1.0151817 *
*       70 *        71 *  16069033 *         6 *     18764 * 1.0162133 * 1.0149306 *
*       71 *        72 *  16069034 *         6 *     18764 * 1.0160769 * 1.0153664 *
*       72 *        73 *  16069035 *         6 *     18764 * 1.0160681 * 1.0154697 *
*       73 *        74 *  16069036 *         6 *     18764 * 1.0159508 * 1.0155024 *
*       74 *        75 *  16069038 *         6 *     18764 * 1.0155588 * 1.0145118 *
*       75 *        76 *  16069039 *         6 *     18764 * 1.0157313 * 1.0150321 *
*       76 *        77 *  16069040 *         6 *     18764 * 1.0158079 * 1.0157403 *
*       77 *        78 *  16069041 *         6 *     18764 * 1.0156574 * 1.0149724 *
*       78 *        79 *  16069042 *         6 *     18764 * 1.0155789 * 1.0150611 *
*       79 *        80 *  16069053 *         7 *     18765 * 1.0404083 * 1.0398204 *
*       80 *        81 *  16069054 *         7 *     18765 * 1.0407955 *  1.039698 *
*       81 *        82 *  16069055 *         7 *     18765 * 1.0409036 * 1.0405169 *
*       82 *        83 *  16069060 *         7 *     18765 * 1.0410622 * 1.0405304 *
*       83 *        84 *  16069061 *         7 *     18765 * 1.0409388 * 1.0393531 *
*       84 *        85 *  16069062 *         7 *     18765 * 1.0409990 * 1.0398494 *
*       85 *        86 *  16069063 *         7 *     18765 * 1.0410348 * 1.0406751 *
*       86 *        87 *  16069064 *         7 *     18765 * 1.0410237 * 1.0405178 *
*       87 *        88 *  16069065 *         7 *     18765 * 1.0410046 *  1.039765 *
*       88 *        89 *  16069066 *         7 *     18765 * 1.0410751 * 1.0401264 *
*       89 *        90 *  16069067 *         7 *     18765 * 1.0410540 * 1.0398490 *
*       90 *        91 *  16070003 *         8 *     18766 * 1.0011401 * 0.9993486 *
*       91 *        92 *  16070004 *         8 *     18766 * 1.0022645 * 1.0025284 *
*       92 *        93 *  16070005 *         8 *     18766 * 1.0026783 * 1.0014281 *
*       93 *        94 *  16070006 *         8 *     18766 * 1.0028103 * 1.0017123 *
*       94 *        95 *  16070008 *         8 *     18766 * 1.0030415 * 1.0022187 *
*       95 *        96 *  16070009 *         8 *     18766 * 1.0031657 * 1.0011426 *
*       96 *        97 *  16070010 *         8 *     18766 * 1.0032767 * 1.0011138 *
*       97 *        98 *  16070012 *         8 *     18766 * 1.0035721 * 1.0035102 *
*       98 *        99 *  16070013 *         8 *     18766 * 1.0038496 * 1.0032020 *
*       99 *       100 *  16070014 *         8 *     18766 * 1.0040749 * 1.0023938 *
*      100 *       101 *  16070015 *         8 *     18766 * 1.0040156 * 1.0014615 *
*      101 *       102 *  16070039 *         9 *     18772 * 0.9940099 * 0.9940946 *
*      102 *       103 *  16071001 *         9 *     18772 * 0.9937448 * 0.9934650 *
*      103 *       104 *  16071002 *         9 *     18772 * 0.9934042 * 0.9913977 *
*      104 *       105 *  16071003 *         9 *     18772 * 0.9932256 * 0.9928370 *
*      105 *       106 *  16071006 *         9 *     18772 * 0.9928994 * 0.9905195 *
*      106 *       107 *  16071007 *         9 *     18772 * 0.9927583 * 0.9913333 *
*      107 *       108 *  16071010 *         9 *     18772 * 0.9925829 * 0.9914343 *
*      108 *       109 *  16071016 *         9 *     18772 * 0.9925045 * 0.9918017 *
*      109 *       110 *  16071018 *         9 *     18772 * 0.9923361 * 0.9907847 *
*      110 *       111 *  16071021 *         9 *     18772 * 0.9920201 * 0.9921978 *
*      111 *       112 *  16071022 *         9 *     18772 * 0.9919250 * 0.9898067 *
*      112 *       113 *  16071023 *         9 *     18772 * 0.9918137 * 0.9903785 *
*      113 *       114 *  16071024 *         9 *     18772 * 0.9918259 * 0.9896631 *
*      114 *       115 *  16071025 *         9 *     18772 * 0.9917242 * 0.9902086 *
*      115 *       116 *  16071026 *         9 *     18772 * 0.9915587 * 0.9920555 *
*      116 *       117 *  16071027 *         9 *     18772 * 0.9915373 * 0.9923958 *
*      117 *       118 *  16071042 *        10 *     18776 * 1.0007408 * 1.0002822 *
*      118 *       119 *  16071043 *        10 *     18776 * 1.0006873 * 1.0006315 *
*      119 *       120 *  16071044 *        10 *     18776 * 1.0007448 * 1.0006856 *
*      120 *       121 *  16071045 *        10 *     18776 * 1.0007340 * 0.9994457 *
*      121 *       122 *  16071046 *        10 *     18776 * 1.0006219 * 0.9996953 *
*      122 *       123 *  16071050 *        10 *     18776 * 1.0006644 * 0.9989781 *
*      123 *       124 *  16071051 *        10 *     18776 * 1.0005599 * 1.0008212 *
*      124 *       125 *  16071052 *        10 *     18776 * 1.0005905 * 0.9982877 *
*      125 *       126 *  16071053 *        10 *     18776 * 1.0006003 * 0.9987048 *
*      126 *       127 *  16071054 *        10 *     18776 * 1.0005656 * 1.0004897 *
*      127 *       128 *  16071055 *        10 *     18776 * 1.0005226 * 0.9994012 *
*      128 *       129 *  16071056 *        10 *     18776 * 1.0006511 * 0.9995234 *
*      129 *       130 *  16071058 *        10 *     18776 * 1.0006001 * 1.0004853 *
*      130 *       131 *  16071059 *        10 *     18776 * 1.0006015 * 1.0003432 *
*      131 *       132 *  16071060 *        10 *     18776 * 1.0005885 * 1.0015523 *
*      132 *       133 *  16071061 *        10 *     18776 * 1.0008626 * 0.9983139 *
*      133 *       134 *  16071062 *        10 *     18776 * 1.0017663 * 1.0018861 *
*      134 *       135 *  16071076 *        11 *     18777 * 0.9640772 * 0.9633886 *
*      135 *       136 *  16071077 *        11 *     18777 * 0.9640522 * 0.9630379 *
*      136 *       137 *  16071078 *        11 *     18777 * 0.9635565 * 0.9628010 *
*      137 *       138 *  16071079 *        11 *     18777 * 0.9632322 * 0.9621993 *
*      138 *       139 *  16072001 *        11 *     18777 * 0.9628763 * 0.9621229 *
*      139 *       140 *  16072002 *        11 *     18777 * 0.9626883 * 0.9616838 *
*      140 *       141 *  16072003 *        11 *     18777 * 0.9622893 * 0.9619063 *
*      141 *       142 *  16072006 *        11 *     18777 * 0.9621018 * 0.9616135 *
*      142 *       143 *  16072007 *        11 *     18777 * 0.9620552 * 0.9609589 *
*      143 *       144 *  16072008 *        11 *     18777 * 0.9619208 * 0.9609916 *
*      144 *       145 *  16072009 *        11 *     18777 * 0.9617367 * 0.9607988 *
*      145 *       146 *  16072010 *        11 *     18777 * 0.9616273 * 0.9608018 *
*      146 *       147 *  16072012 *        11 *     18777 * 0.9615044 * 0.9607928 *
*      147 *       148 *  16072013 *        11 *     18777 * 0.9614408 * 0.9607892 *
*      148 *       149 *  16072014 *        11 *     18777 * 0.9614856 * 0.9613203 *
*      149 *       150 *  16072021 *        12 *     18778 * 1.0350562 * 1.0341382 *
*      150 *       151 *  16072022 *        12 *     18778 * 1.0355674 * 1.0344362 *
*      151 *       152 *  16072023 *        12 *     18778 * 1.0352017 * 1.0341144 *
*      152 *       153 *  16072024 *        12 *     18778 * 1.0349650 * 1.0336581 *
*      153 *       154 *  16072025 *        12 *     18778 * 1.0349704 * 1.0342961 *
*      154 *       155 *  16072026 *        12 *     18778 * 1.0351263 * 1.0342296 *
*      155 *       156 *  16072027 *        12 *     18778 * 1.0352824 * 1.0348267 *
*      156 *       157 *  16072033 *        12 *     18778 * 1.0356360 * 1.0346127 *
*      157 *       158 *  16072034 *        12 *     18778 * 1.0358092 * 1.0348099 *
*      158 *       159 *  16072035 *        12 *     18778 * 1.0357849 * 1.0353376 *
*      159 *       160 *  16072036 *        12 *     18778 * 1.0358593 * 1.0351617 *
*      160 *       161 *  16072038 *        12 *     18778 * 1.0358982 * 1.0352547 *
*      161 *       162 *  16072039 *        12 *     18778 * 1.0360181 * 1.0348972 *
*      162 *       163 *  16072040 *        12 *     18778 * 1.0361386 * 1.0357891 *
*      163 *       164 *  16072041 *        12 *     18778 * 1.0362973 * 1.0355002 *
*      164 *       165 *  16072042 *        12 *     18778 * 1.0364774 * 1.0360437 *
*      165 *       166 *  16072043 *        12 *     18778 * 1.0366751 *  1.037117 *
*      166 *       167 *  16072046 *        12 *     18778 * 1.0343669 * 1.0332664 *
*      167 *       168 *  16072047 *        12 *     18778 * 1.0337662 * 1.0333873 *
*      168 *       169 *  16072057 *        13 *     18779 * 0.9678280 * 0.9681177 *
*      169 *       170 *  16072058 *        13 *     18779 * 0.9706291 * 0.9695537 *
*      170 *       171 *  16072059 *        13 *     18779 * 0.9708821 * 0.9696519 *
*      171 *       172 *  16072060 *        13 *     18779 * 0.9710192 * 0.9703791 *
*      172 *       173 *  16072061 *        13 *     18779 * 0.9709476 * 0.9701953 *
*      173 *       174 *  16072062 *        13 *     18779 * 0.9710123 * 0.9701516 *
*      174 *       175 *  16073001 *        13 *     18779 * 0.9709864 * 0.9704030 *
*      175 *       176 *  16073017 *        13 *     18779 * 0.9708693 * 0.9702546 *
*      176 *       177 *  16073018 *        13 *     18779 * 0.9709377 * 0.9702721 *
*      177 *       178 *  16073019 *        13 *     18779 * 0.9709231 * 0.9698879 *
*      178 *       179 *  16073020 *        13 *     18779 * 0.9707988 * 0.9694332 *
*      179 *       180 *  16073021 *        13 *     18779 * 0.9708277 * 0.9703052 *
*      180 *       181 *  16073030 *        14 *     18780 * 1.0283640 * 1.0278695 *
*      181 *       182 *  16073031 *        14 *     18780 * 1.0282971 * 1.0278793 *
*      182 *       183 *  16073032 *        14 *     18780 * 1.0283678 * 1.0273383 *
*      183 *       184 *  16073033 *        14 *     18780 * 1.0285805 * 1.0276963 *
*      184 *       185 *  16073034 *        14 *     18780 * 1.0285664 * 1.0284566 *
*      185 *       186 *  16073035 *        14 *     18780 * 1.0285998 * 1.0272617 *
*      186 *       187 *  16073037 *        14 *     18780 * 1.0286256 * 1.0276055 *
*      187 *       188 *  16073038 *        14 *     18780 * 1.0286431 * 1.0275590 *
*      188 *       189 *  16073039 *        14 *     18780 * 1.0286982 * 1.0277630 *
*      189 *       190 *  16073040 *        14 *     18780 * 1.0287551 * 1.0283107 *
*      190 *       191 *  16077019 *        15 *     18786 * 1.0029616 * 1.0026768 *
*      191 *       192 *  16077020 *        15 *     18786 * 1.0036686 * 1.0021424 *
*      192 *       193 *  16077021 *        15 *     18786 * 1.0038942 * 1.0035384 *
*      193 *       194 *  16077027 *        16 *     18787 * 1.0177110 * 1.0158507 *
*      194 *       195 *  16077028 *        16 *     18787 * 1.0162844 * 1.0128103 *
*      195 *       196 *  16077029 *        16 *     18787 * 1.0144981 * 1.0098804 *
*      196 *       197 *  16077030 *        16 *     18787 * 1.0116262 * 1.0089708 *
*      197 *       198 *  16077031 *        16 *     18787 * 1.0100328 * 1.0094476 *
*      198 *       199 *  16077032 *        16 *     18787 * 1.0098559 * 1.0071740 *
*      199 *       200 *  16077033 *        16 *     18787 * 1.0098587 * 1.0104867 *
